date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:59	44447/44447	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/layout/media-object/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/layout/media-object/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:59	91234/91234	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/layout/grid/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/layout/grid/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:01	25249/25249	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/layout/utilities-for-layout/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/layout/utilities-for-layout/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:02	43859/43859	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/content/reboot/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/content/reboot/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:03	50678/50678	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/content/typography/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/content/typography/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:05	25979/25979	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/content/code/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/content/code/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:10	99951/99951	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/grid.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/grid.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:10	68573/68573	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/jumbotron-narrow.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/jumbotron-narrow.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:11	28571/28571	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/content/images/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/content/images/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:13	87368/87368	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/content/tables/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/content/tables/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
